intendedword,shownword,poem_number,poem_text,condition
spent,bent,i,"I work all day\n to pay the rent,\n before the money's earned\n it's all been ______.",RHYME
spent,kissed,i,"I work all day\n to pay the rent,\n before the money's earned\n it's all been ______.",FILLER
right,perfect,j,"The poems I write\n are a real delight,\n so please be polite\n when the rhyme is not ______.",AT
right,right,j,"The poems I write\n are a real delight,\n so please be polite\n when the rhyme is not ______.",IT
right,white,j,"The poems I write\n are a real delight,\n so please be polite\n when the rhyme is not ______.",RHYME
right,heavy,j,"The poems I write\n are a real delight,\n so please be polite\n when the rhyme is not ______.",FILLER
rose,zinnia,k,"The elephant's nose\n looked like a hose.\n In the garden, he chose\n to pick a red ______.",AT
rose,rose,k,"The elephant's nose\n looked like a hose.\n In the garden, he chose\n to pick a red ______.",IT
rose,nose,k,"The elephant's nose\n looked like a hose.\n In the garden, he chose\n to pick a red ______.",RHYME
rose,printer,k,"The elephant's nose\n looked like a hose.\n In the garden, he chose\n to pick a red ______.",FILLER
floor,basement,l,"It's my pleasure to give you a tour,\n though I hope you don't make me do more,\n as there is only so much to explore,\n from the ceiling to the ______.",AT
floor,floor,l,"It's my pleasure to give you a tour,\n though I hope you don't make me do more,\n as there is only so much to explore,\n from the ceiling to the ______.",IT
floor,oar,l,"It's my pleasure to give you a tour,\n though I hope you don't make me do more,\n as there is only so much to explore,\n from the ceiling to the ______.",RHYME
floor,taranatula,l,"It's my pleasure to give you a tour,\n though I hope you don't make me do more,\n as there is only so much to explore,\n from the ceiling to the ______.",FILLER
rice,cornbread,m,"I'd quickly learn the system,\n start giving good advice.\n I'd drink a barrel of whiskey,\n and I'd eat my beans with ______.",AT
rice,rice,m,"I'd quickly learn the system,\n start giving good advice.\n I'd drink a barrel of whiskey,\n and I'd eat my beans with ______.",IT
rice,mice,m,"I'd quickly learn the system,\n start giving good advice.\n I'd drink a barrel of whiskey,\n and I'd eat my beans with ______.",RHYME
rice,juveniles,m,"I'd quickly learn the system,\n start giving good advice.\n I'd drink a barrel of whiskey,\n and I'd eat my beans with ______.",FILLER
cop,taxi,n,"The girl told the farmer\n that he'd better stop,\n and she called her father,\n and he called a ______.",AT
cop,cop,n,"The girl told the farmer\n that he'd better stop,\n and she called her father,\n and he called a ______.",IT
cop,shop,n,"The girl told the farmer\n that he'd better stop,\n and she called her father,\n and he called a ______.",RHYME
cop,bird,n,"The girl told the farmer\n that he'd better stop,\n and she called her father,\n and he called a ______.",FILLER
bland,terrible,o,"I'm missing the dinners\n from mom, they were grand,\n since all of the food\n in this place is so ______.",AT
bland,bland,o,"I'm missing the dinners\n from mom, they were grand,\n since all of the food\n in this place is so ______.",IT
bland,planned,o,"I'm missing the dinners\n from mom, they were grand,\n since all of the food\n in this place is so ______.",RHYME
bland,maroon,o,"I'm missing the dinners\n from mom, they were grand,\n since all of the food\n in this place is so ______.",FILLER
