condition,stimuli,posthoc
OTHER (RHYME),"I'd quickly learn the system, start giving good advice. I'd drink a barrel of whiskey, and I'd eat my beans with rice","The passage above is a poem, meaning you should write 'Poem'. This passage features a rhythmic structure and rhyme, which are common elements found in poetry."
OTHER (LINEBREAK),"I'd quickly learn the system,\n start giving good tips.\n I'd drink a barrel of whiskey,\n and I'd eat my beans with cornbread","The passage above is a poem, meaning you should write 'Poem'. This passage is considered a poem because it has a rhythm and it expresses an experience or emotion, characteristics typically associated with poetry."
POEM,"I'd quickly learn the system,\n start giving good advice.\n I'd drink a barrel of whiskey,\n and I'd eat my beans with rice",The passage above is a poem. This is concluded based on the rhythmic structure and a slight presence of rhyme in the passage.
OTHER (PROSE),"The girl told the farmer that he'd better quit, and she called her parent, and he called a taxi","The passage above is not a poem, meaning you should write 'Other'. The structure and language usage resembles more of a narrative or a piece of prose rather than a poem. There's no noticeable rhythm, rhyme, or other poetic techniques typical in poetry."
POEM,"The girl told the farmer\n that he'd better stop,\n and she called her father,\n and he called a cop","The passage above is a 'Poem'. It's formatted with line breaks and has a rhyme scheme, which are typical characteristics of a poem."
OTHER (RHYME),"The girl told the farmer that he'd better stop, and she called her father, and he called a cop","The passage above is a 'Poem'. It has a rhythmic quality and rhyming scheme often associated with poems. The phrase ""the girl told the farmer that he'd better stop, and she called her father, and he called a cop"" follows a rhythmic pattern and has a clear rhyme in ""stop"" and ""cop""."
OTHER (LINEBREAK),"The girl told the farmer\n that he'd better quit,\n and she called her parent,\n and he called a taxi","The passage above is a 'Poem'. It has a structure similar to verses with some sort of rhythmic pattern which is often associated with poetry. Furthermore, it is abstract and evokes some kind of emotional imagery, which is another common facet of poetry."
OTHER (LINEBREAK),"I'm missing the dinners\n from mom, they were great,\n since all of the food\n in this place is so terrible","The passage above is a poem. This decision was made based on the structured and rhythmic sentences that are characteristics of poetry. The passage's content also expresses personal emotion, which is another typical feature of poetry."
POEM,"I'm missing the dinners\n from mom, they were grand,\n since all of the food\n in this place is so bland","The passage above is a poem, meaning you should write 'Poem'. The passage incorporates rhythm and rhyme, which are common characteristics in poems. It also seems to express a certain mood or emotion, another characteristic often found in poetry."
OTHER (RHYME),"I'm missing the dinners from mom, they were grand, since all of the food in this place is so bland","The passage above is a Poem. It displays a rhythmic structure and rhyme scheme, which are common characteristics seen in poems."
OTHER (PROSE),"I'm missing the dinners from mom, they were great, since all of the food in this place is so terrible","The passage above is not a poem, meaning you should write 'Other'. The passage reads as a single sentence expressing a thought. It does not have the rhythm, line breaks, or other features typically associated with poetry."
